Phase 1: Comprehensive Shielding Master Data
Photons Fired per run: 10000000 | Total Runs: 930
===================================================================================================================
Energy (keV)    | Material        | Thickness (mm)  | I_0        | I          | Ratio (I/I_0)   | Abs. Poisson Error
59.5            | Ti3C2O2_25Wt    | 8               | 10000000   | 6369905    | 0.636991        | 0.00025239
59.5            | Ti3C2O2_25Wt    | 10              | 10000000   | 5690386    | 0.569039        | 0.00023855
59.5            | Ti3C2O2_30Wt    | 2               | 10000000   | 8828978    | 0.882898        | 0.00029714
59.5            | Ti3C2O2_30Wt    | 4               | 10000000   | 7796052    | 0.779605        | 0.00027921
59.5            | Ti3C2O2_30Wt    | 6               | 10000000   | 6884588    | 0.688459        | 0.00026238
59.5            | Ti3C2O2_30Wt    | 8               | 10000000   | 6079350    | 0.607935        | 0.00024656
59.5            | Ti3C2O2_30Wt    | 10              | 10000000   | 5368509    | 0.536851        | 0.00023170
356             | PPS_0Wt         | 2               | 10000000   | 9723040    | 0.972304        | 0.00031182
356             | PPS_0Wt         | 4               | 10000000   | 9453400    | 0.94534         | 0.00030746
356             | PPS_0Wt         | 6               | 10000000   | 9191273    | 0.919127        | 0.00030317
356             | PPS_0Wt         | 8               | 10000000   | 8937491    | 0.893749        | 0.00029896
356             | PPS_0Wt         | 10              | 10000000   | 8690675    | 0.869067        | 0.00029480
356             | Pb_5Wt          | 2               | 10000000   | 9685647    | 0.968565        | 0.00031122
356             | Pb_5Wt          | 4               | 10000000   | 9380564    | 0.938056        | 0.00030628
356             | Pb_5Wt          | 6               | 10000000   | 9085190    | 0.908519        | 0.00030142
356             | Pb_5Wt          | 8               | 10000000   | 8800072    | 0.880007        | 0.00029665
356             | Pb_5Wt          | 10              | 10000000   | 8523873    | 0.852387        | 0.00029196
356             | Pb_10Wt         | 2               | 10000000   | 9644211    | 0.964421        | 0.00031055
356             | Pb_10Wt         | 4               | 10000000   | 9300839    | 0.930084        | 0.00030497
356             | Pb_10Wt         | 6               | 10000000   | 8970012    | 0.897001        | 0.00029950
356             | Pb_10Wt         | 8               | 10000000   | 8651736    | 0.865174        | 0.00029414
356             | Pb_10Wt         | 10              | 10000000   | 8344632    | 0.834463        | 0.00028887
356             | Pb_15Wt         | 2               | 10000000   | 9598880    | 0.959888        | 0.00030982
356             | Pb_15Wt         | 4               | 10000000   | 9214486    | 0.921449        | 0.00030355
356             | Pb_15Wt         | 6               | 10000000   | 8844530    | 0.884453        | 0.00029740
356             | Pb_15Wt         | 8               | 10000000   | 8491084    | 0.849108        | 0.00029139
356             | Pb_15Wt         | 10              | 10000000   | 8151442    | 0.815144        | 0.00028551
356             | Pb_20Wt         | 2               | 10000000   | 9549158    | 0.954916        | 0.00030902
356             | Pb_20Wt         | 4               | 10000000   | 9119137    | 0.911914        | 0.00030198
356             | Pb_20Wt         | 6               | 10000000   | 8707561    | 0.870756        | 0.00029509
356             | Pb_20Wt         | 8               | 10000000   | 8316805    | 0.831681        | 0.00028839
356             | Pb_20Wt         | 10              | 10000000   | 7942695    | 0.794269        | 0.00028183
356             | Pb_25Wt         | 2               | 10000000   | 9494465    | 0.949446        | 0.00030813
356             | Pb_25Wt         | 4               | 10000000   | 9014623    | 0.901462        | 0.00030024
356             | Pb_25Wt         | 6               | 10000000   | 8558411    | 0.855841        | 0.00029255
356             | Pb_25Wt         | 8               | 10000000   | 8126458    | 0.812646        | 0.00028507
356             | Pb_25Wt         | 10              | 10000000   | 7716133    | 0.771613        | 0.00027778
356             | Pb_30Wt         | 2               | 10000000   | 9433171    | 0.943317        | 0.00030713
356             | Pb_30Wt         | 4               | 10000000   | 8898507    | 0.889851        | 0.00029830
356             | Pb_30Wt         | 6               | 10000000   | 8394311    | 0.839431        | 0.00028973
356             | Pb_30Wt         | 8               | 10000000   | 7919169    | 0.791917        | 0.00028141
356             | Pb_30Wt         | 10              | 10000000   | 7471369    | 0.747137        | 0.00027334
356             | BaSO4_5Wt       | 2               | 10000000   | 9710008    | 0.971001        | 0.00031161
356             | BaSO4_5Wt       | 4               | 10000000   | 9428078    | 0.942808        | 0.00030705
356             | BaSO4_5Wt       | 6               | 10000000   | 9154623    | 0.915462        | 0.00030257
